id,type,code,latin,persian,description,parent_id,is_active,is_default
503a3f60-0352-48aa-822c-1b0f5a1c95eb,ENUM_TYPE,ENUM_VOTING_METHOD,روش اخذ تصمیم,روش اخذ تصمیم,Parent category for روش اخذ تصمیم,,true,false
49718213-be0a-4092-97fd-bc3c50508ba2,ENUM_TYPE,CON,Consensus,اجماع,,503a3f60-0352-48aa-822c-1b0f5a1c95eb,true,false
7ad56a58-8f57-4e08-9368-b436e4bba0ab,ENUM_TYPE,SIM,Simple Majority,اکثریت ساده,,503a3f60-0352-48aa-822c-1b0f5a1c95eb,true,false
5de1b2c9-c495-4285-9e61-16036f7206b0,ENUM_TYPE,ABS,Absolute Majority,اکثریت مطلق,,503a3f60-0352-48aa-822c-1b0f5a1c95eb,true,false
6c7d977c-cc9d-4910-b658-badcc7066411,ENUM_TYPE,QMJ,Qualified Majority,اکثریت ویژه,,503a3f60-0352-48aa-822c-1b0f5a1c95eb,true,false
5ad3760c-2d58-423d-b93e-222b6de1b14c,ENUM_TYPE,UNA,Unanimous,اتفاق آراء,,503a3f60-0352-48aa-822c-1b0f5a1c95eb,true,false
8a9a9bd9-cb5c-401f-8f7b-f53cbb15e95d,ENUM_TYPE,WGT,Weighted Voting,رأی‌گیری وزنی,,503a3f60-0352-48aa-822c-1b0f5a1c95eb,true,false
b6d7cb20-360a-4311-a9bf-0585d22520e4,ENUM_TYPE,ENUM_INVITATION_STATUS,وضعیت پاسخ به دعوت,وضعیت پاسخ به دعوت,Parent category for وضعیت پاسخ به دعوت,,true,false
d8d63d18-9a80-42a5-a294-387e14c83ef4,ENUM_TYPE,PND,Pending,در انتظار پاسخ,,b6d7cb20-360a-4311-a9bf-0585d22520e4,true,false
8ac52aff-a112-4a84-a35b-caf63590914c,ENUM_TYPE,ACC,Accepted,پذیرفته شد,,b6d7cb20-360a-4311-a9bf-0585d22520e4,true,false
